,afilCmpyCrno,afilCmpyNm,basDt,crno,lstgYn
0,1101110014764,롯데건설(주),20200509,1101110000086,
1,1101110033722,(주)롯데푸드,20200509,1101110000086,
2,1101110076300,롯데지주(주),20200509,1101110000086,
3,1101110145410,호텔롯데(주),20200509,1101110000086,
4,1101110159099,롯데상사(주),20200509,1101110000086,
5,1101110193196,롯데케미칼(주),20200509,1101110000086,
6,1101110532633,롯데하이마트(주),20200509,1101110000086,
7,1101111217416,롯데캐피탈(주),20200509,1101110000086,
8,1101113326588,롯데렌탈(주),20200509,1101110000086,
9,1101114660232,서울복합물류프로젝트금융투자(주),20200509,1101110000086,
